aircraft_type,oew,mtow,range
A320,42600,77000,3300
B738,41145,79015,3060
A20N,44500,79000,3500
A321,47000,93500,3200
E195,32300,52290,2300
A21N,48500,97000,4000
CRJ9,21600,38330,1550
A319,39000,75500,3750
A333,124500,242000,6350
B38M,45070,82190,3550
BCS3,36115,70900,3400
B77W,167830,351530,7370
B772,138100,297550,5240
AT76,13000,23000,825
B788,119950,227930,7530
B789,128600,254000,7530
BCS1,30390,60800,3400
B737,38145,70080,2935
A332,120160,238000,7250
E190,28820,51800,2450
B739,44676,85139,3200
A359,148000,280000,8100
B763,88450,181890,5990
A343,129400,275000,7150
B752,58300,115660,3915
B773,168560,351530,6014
E290,58397,79265,2600
A310,80000,164000,5150
C56X,9163,16374,2100
B39M,45070,82190,3550
